epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,460.251,1.19247,0.6001,0.00331,0.93389,0.77312,0.86219,0.53199,1.46502,0.80623,0.0056,0.000742625,0.000742625,0.000742625
43,470.118,1.19556,0.58861,0.00308,0.90367,0.74255,0.86791,0.55424,1.39686,0.8149,0.00526,0.00073025,0.00073025,0.00073025
44,480.092,1.18637,0.5828,0.00317,0.89477,0.76714,0.86955,0.54326,1.47815,0.76465,0.00565,0.000717875,0.000717875,0.000717875
45,489.999,1.17733,0.57401,0.0032,0.85404,0.79436,0.84407,0.52065,1.4673,0.82763,0.00544,0.0007055,0.0007055,0.0007055
46,499.905,1.18104,0.59017,0.0032,0.88695,0.77921,0.85326,0.54717,1.43137,0.76576,0.00556,0.000693125,0.000693125,0.000693125
47,509.813,1.13377,0.55249,0.00287,0.8552,0.79273,0.84053,0.53472,1.45923,0.80437,0.00553,0.00068075,0.00068075,0.00068075
48,519.793,1.14777,0.5588,0.00305,0.8923,0.74793,0.84821,0.54599,1.39178,0.77104,0.00512,0.000668375,0.000668375,0.000668375
49,529.758,1.161,0.5739,0.00313,0.85631,0.78479,0.846,0.54791,1.41398,0.77291,0.00539,0.000656,0.000656,0.000656
50,539.674,1.12132,0.55079,0.0029,0.81034,0.82085,0.8528,0.55632,1.39967,0.7754,0.00522,0.000643625,0.000643625,0.000643625
51,549.602,1.14008,0.54073,0.00285,0.8269,0.79958,0.86558,0.55486,1.42455,0.76486,0.0052,0.00063125,0.00063125,0.00063125
52,559.503,1.11831,0.52586,0.0029,0.90156,0.78671,0.86289,0.55969,1.42411,0.73668,0.00548,0.000618875,0.000618875,0.000618875
53,569.371,1.10295,0.53787,0.00297,0.85051,0.80921,0.85786,0.56074,1.42586,0.7429,0.00523,0.0006065,0.0006065,0.0006065
54,579.594,1.0852,0.49883,0.00288,0.85892,0.78972,0.85527,0.55469,1.4383,0.76724,0.00544,0.000594125,0.000594125,0.000594125
55,589.798,1.13325,0.54041,0.0029,0.87882,0.77367,0.85938,0.54915,1.44055,0.74362,0.00544,0.00058175,0.00058175,0.00058175
56,599.88,1.09256,0.51265,0.00276,0.87861,0.79568,0.85424,0.54861,1.44315,0.71069,0.00533,0.000569375,0.000569375,0.000569375
57,609.938,1.10201,0.53473,0.00269,0.81885,0.81649,0.86333,0.54953,1.43627,0.73003,0.00549,0.000557,0.000557,0.000557
58,619.852,1.10876,0.51983,0.00265,0.86577,0.77797,0.86029,0.54862,1.42658,0.76964,0.00527,0.000544625,0.000544625,0.000544625
59,629.758,1.10571,0.53496,0.00283,0.89377,0.74742,0.8428,0.53301,1.46655,0.7502,0.0055,0.00053225,0.00053225,0.00053225
60,639.658,1.05617,0.48779,0.00267,0.87143,0.80836,0.88158,0.54779,1.4578,0.69255,0.00542,0.000519875,0.000519875,0.000519875
61,649.568,1.08594,0.49399,0.00263,0.8802,0.76585,0.86345,0.54477,1.40988,0.76027,0.00543,0.0005075,0.0005075,0.0005075
62,659.415,1.0861,0.50054,0.00265,0.88361,0.81922,0.87059,0.54487,1.49247,0.683,0.0058,0.000495125,0.000495125,0.000495125
63,669.241,1.07504,0.50785,0.00276,0.81145,0.80826,0.86048,0.54476,1.4581,0.75066,0.00543,0.00048275,0.00048275,0.00048275
64,679.126,1.06448,0.51325,0.0027,0.86115,0.79102,0.86185,0.55622,1.41617,0.78547,0.00509,0.000470375,0.000470375,0.000470375
65,688.938,1.06006,0.4899,0.00264,0.87325,0.78396,0.85188,0.54985,1.42949,0.76049,0.00548,0.000458,0.000458,0.000458
66,698.867,1.06116,0.51122,0.00259,0.88136,0.76517,0.85386,0.54026,1.45749,0.77055,0.00533,0.000445625,0.000445625,0.000445625
67,708.899,1.04276,0.48229,0.0025,0.87964,0.77584,0.86969,0.55917,1.43923,0.74595,0.00539,0.00043325,0.00043325,0.00043325
68,718.866,1.04826,0.4854,0.00264,0.91361,0.77563,0.87628,0.56522,1.41558,0.75321,0.0054,0.000420875,0.000420875,0.000420875
69,728.772,1.02108,0.48803,0.00259,0.88431,0.80691,0.85583,0.55111,1.43254,0.76362,0.00534,0.0004085,0.0004085,0.0004085
70,738.653,1.02713,0.44653,0.0024,0.88244,0.76147,0.85317,0.54983,1.42961,0.74513,0.00541,0.000396125,0.000396125,0.000396125
71,748.564,1.00565,0.45267,0.00246,0.86772,0.80136,0.86694,0.55168,1.43459,0.73941,0.00539,0.00038375,0.00038375,0.00038375
72,758.473,0.99667,0.45452,0.00248,0.87423,0.77911,0.8548,0.54395,1.4204,0.78027,0.00535,0.000371375,0.000371375,0.000371375
73,768.373,1.00982,0.46533,0.0025,0.85036,0.81293,0.8604,0.55242,1.42132,0.74974,0.00535,0.000359,0.000359,0.000359
74,778.367,0.99473,0.44178,0.00238,0.86622,0.81835,0.87333,0.56473,1.42163,0.72616,0.00524,0.000346625,0.000346625,0.000346625
75,788.328,0.98234,0.44351,0.00245,0.85715,0.81196,0.85679,0.55587,1.40159,0.773,0.00521,0.00033425,0.00033425,0.00033425
76,798.233,1.02148,0.46477,0.00245,0.90965,0.79755,0.86999,0.5537,1.41851,0.73167,0.00518,0.000321875,0.000321875,0.000321875
77,808.132,0.9947,0.46169,0.00259,0.87221,0.78204,0.86239,0.56036,1.38676,0.73936,0.00509,0.0003095,0.0003095,0.0003095
78,818.063,0.9931,0.44877,0.00234,0.8645,0.77368,0.84981,0.55286,1.41798,0.71984,0.00516,0.000297125,0.000297125,0.000297125
79,828.038,0.97214,0.44999,0.00232,0.85251,0.81657,0.85278,0.55649,1.42482,0.70266,0.00534,0.00028475,0.00028475,0.00028475
80,838.001,1.00628,0.46124,0.0023,0.90079,0.81236,0.86539,0.55664,1.42571,0.71295,0.0055,0.000272375,0.000272375,0.000272375
81,848.051,0.9465,0.42481,0.00224,0.89077,0.80321,0.86423,0.5623,1.42316,0.72263,0.00531,0.00026,0.00026,0.00026
82,857.992,0.94879,0.43123,0.00226,0.87308,0.81219,0.8766,0.56168,1.4293,0.72362,0.00536,0.000247625,0.000247625,0.000247625
83,867.942,0.9758,0.42519,0.00234,0.91052,0.81744,0.87277,0.56611,1.40913,0.73377,0.00515,0.00023525,0.00023525,0.00023525
84,877.981,0.96839,0.44304,0.00233,0.92316,0.79883,0.87785,0.57129,1.38592,0.75566,0.00506,0.000222875,0.000222875,0.000222875
85,887.944,0.94119,0.44574,0.0022,0.87837,0.79546,0.85813,0.55767,1.40161,0.72611,0.00514,0.0002105,0.0002105,0.0002105
86,897.871,0.96808,0.4381,0.00216,0.90868,0.76814,0.87305,0.54833,1.43423,0.74709,0.00543,0.000198125,0.000198125,0.000198125
87,907.766,0.94587,0.4397,0.00235,0.90124,0.7649,0.85912,0.55293,1.41416,0.7364,0.0053,0.00018575,0.00018575,0.00018575
88,917.726,0.9406,0.42429,0.00216,0.87767,0.7828,0.85237,0.55097,1.42087,0.73725,0.00533,0.000173375,0.000173375,0.000173375
89,927.59,1.01164,0.47363,0.00233,0.87066,0.78289,0.85429,0.55451,1.39625,0.74592,0.00517,0.000161,0.000161,0.000161
90,937.525,0.93646,0.42107,0.00217,0.87676,0.76278,0.8474,0.5514,1.40911,0.74767,0.00524,0.000148625,0.000148625,0.000148625
91,978.14,0.89161,0.38023,0.00204,0.88785,0.77532,0.85229,0.55353,1.40852,0.73932,0.00521,0.00013625,0.00013625,0.00013625
92,988.072,0.90557,0.38435,0.00209,0.89316,0.77431,0.85545,0.55145,1.41621,0.74532,0.00529,0.000123875,0.000123875,0.000123875
93,997.898,0.89634,0.37567,0.00198,0.87348,0.7901,0.85471,0.54913,1.41522,0.73958,0.00531,0.0001115,0.0001115,0.0001115
94,1007.75,0.88587,0.38213,0.00196,0.88973,0.77756,0.85288,0.55505,1.41451,0.74149,0.00527,9.9125e-05,9.9125e-05,9.9125e-05
95,1017.64,0.88519,0.38297,0.002,0.90399,0.76708,0.85402,0.55657,1.41033,0.74432,0.00524,8.675e-05,8.675e-05,8.675e-05
96,1027.59,0.88651,0.36466,0.00197,0.89469,0.76706,0.85625,0.55695,1.41889,0.72874,0.00527,7.4375e-05,7.4375e-05,7.4375e-05
97,1037.4,0.87263,0.36645,0.00192,0.89036,0.76996,0.85218,0.55429,1.41628,0.73482,0.00526,6.2e-05,6.2e-05,6.2e-05
98,1047.36,0.87712,0.36119,0.0019,0.89487,0.76806,0.85676,0.55869,1.40332,0.74242,0.00521,4.9625e-05,4.9625e-05,4.9625e-05
99,1057.28,0.89033,0.37545,0.00193,0.89639,0.7648,0.85473,0.55331,1.40504,0.74694,0.00522,3.725e-05,3.725e-05,3.725e-05
100,1067.18,0.87804,0.37121,0.00191,0.90074,0.76445,0.8546,0.55338,1.40343,0.75342,0.00522,2.4875e-05,2.4875e-05,2.4875e-05
